id	name
0u2FHSq3ln94y5Q57xazwf	Keith Urban
1KCSPY1glIKqW2TotWuXOR	P!nk
3klZnJvYGIbWritVwQD434	Duncan Laurence
6Rw7DRa1dzChBvxGPCpOxU	Niko Moon
4xFUf1FHVy696Q1JQZMTRj	Carrie Underwood
3yzRiNMZdTsSUgplcyYZ4i	Blanco Brown
2IvkS5MXK0vPGnwyJsrEyV	Eric Church
7MPGCB854Qo4alYMOPkBka	Ritt Momney
5jJjvmEwRr8epuGZq4eUUa	BRS Kash
45TgXXqMDdF8BkjA83OM7z	Rod Wave
6pBNfggcZZDCmb0p92OnGn	Chase Rice
4GNC7GD6oZMSxPGyXy4MNB	Lewis Capaldi
2jku7tDXc6XoB6MO2hFuqg	Tory Lanez
55Aa2cqylxrFIXC767Z865	Lil Wayne
2NjfBq1NflQcKSeiDooVjY	Tones And I
0vRvGUQVUjytro0xpb26bs	Arizona Zervas
0VRj0yCOv2FXJNP47XQnx5	Quavo
0H39MdGGX6dbnnQPt6NQkZ	SAINt JHN
5rGrDvrLOV2VV8SCFVGWlj	Imanbek
7uaIm6Pw7xplS8Dy06V6pT	Trevor Daniel
0YinUQ50QDB7ZxSCLyQ40k	Mustard
5zctI4wO9XSKS8XwcnqEHk	Lil Mosey
56mfhUDKa1vec6rSLZV5Eg	Jawsh 685
07YZf4WDAMNwqr4jfgOZ8y	Jason Derulo
6bmlMHgSheBauioMgKv2tn	Powfu
35l9BRT7MXmM8bv2WDQiyB	beabadoobee
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes
1yxSLGMDHlW21z4YXirZDS	Black Eyed Peas
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin
4yiQZ8tQPux8cPriYMWUFP	Gwen Stefani
3KwmxIhSe9UTSEF37kwngR	SHAED
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD
66W9LaWS0DPdL7Sz8iYGYe	JP Saxe
0ZED1XzwlLHW4ZaG4lOT6m	Julia Michaels
45gHcnDnMC15sgx3VL7ROG	42 Dugg
4ETSs924pXMzjIeD6E9b4u	Surfaces
7wlFDEWiM5OoIAt8RSli8b	YoungBoy Never Broke Again
1XLWox9w1Yvbodui0SRhUQ	StaySolidRocky
34bhyY8jfKez7uKakMfy4y	Maddie & Tae
5Zq7R5qmi58ByYyBQTlNuk	Lee Brice
2kucQ9jQwuD8jWdtR9Ef38	Sam Hunt
4sIl4BTo9l9KqEi0Y3RE72	Carly Pearce
1cNDP5yjU5vjeR8qMf4grg	YNW Melly
3q7HBObVc0L8jNeTe5Gofh	50 Cent
26VFTg2z8YR0cCuwLzESi2	Halsey
0Cp8WN4V8Tu4QJQwCN5Md4	BENEE
6sHCvZe1PHrOAuYlwTLNH4	Gus Dapperton
2PaZWGu5T5nHjY2xxAkFsT	THE SCOTTS
0fA0VVWsXO9YnASrzqfmYu	Kid Cudi
